review,sentiment
"Carlito Way, the original is a brilliant story about an ex-drug dealer who hopes to leave his criminal past and so he invests in a club and the deals with the trouble that comes with it.<br /><br />This film was....<br /><br />I saw the trailer and knew instantly it was going to be bad..But after dismissing films in the past and finding out they were great( Lucky Number Slevin, Tokyo Drift)...I gave this a shot and it failed within the first five minutes...<br /><br />The script is something a teenager would come up with if given five minutes to prepare...It was weak, with weaker dialogue. It seems there is an instant need for romance in a gangster movie. So Brigante decides to beat a guy up for the girl....and she say's 'Yes!' And if you need to act bad just throw racism around...As we learn from the 'Italian mobsters'...<br /><br />The acting was terrible to say the least...I found 'Hollywood Nicky', hilarious.<br /><br />I absolutely hate all these musicians turning to movies. Lets face it the only reason P Diddy did this movie was so he could play a gangsters...The actress who plays Leticia was weak but beautiful. The sex scene was weak but we got to see her..which was okay...<br /><br />But overall I expected it shed light on how Carito ended up in prison and the love of his life...And the assassin towards the end completely added to the horrendous movie that is...<br /><br />Carlito's Way: Rise to Power..",negative
"""ASTONISHING"" Screams the LA Times from the front of the DVD box. They must have been referring to the fact that such a sorry piece of crap was ever released. The film revolves around a bunch of girls who have a disease which forces them to become cannibals, and murder innocent people just to stay alive. Their skin peels off throughout the film, we also see severed legs, heads etc that are about as convincing as a Halloween Fuzzy Felt set. There is an awful lot of talking b*ll**ks, a bit of human cuisine and some weird zombie hunter chap who imprisons the sufferers of said skin illness in his closet strapped to a chair, before stabbing them in the head, chopping them into bits...<br /><br />You get the picture. Considering there is no acting talent on display at all, and the gore is laughably unrealistic, what is the point of this whole farrago? Again looking at the video box, the guy responsible for it is an ""underground cult director"". Would that be like those weird religious cults where they brainwash you into thinking one way when clearly the opposite is true? Because that's the only possible reason I can think of for anyone to derive pleasure by watching this tax write-off. Then, on the same paragraph he compares himself to Mike Leigh, Ken Loach and George Romero. HAHAHAHAHA oh stop it. Now you're just being silly.<br /><br />Do you enjoy this film? Are you offended by the above opinion? If so, you must be a member of said cult. Do they pocket your wages? Do they let you see other family members? Do they force you to watch Andrew Parkinson films till you think he's the best director since A.Hitchcock? Do tell... this sounds like a Panorama special brewing to me. And say hello to the critic of the LA times when you return to your colony, will you? 0/10",negative
"Perhaps it's me and my perverted ways, or the fact that I tend to have a very sick mind, but I rented this film at random one very weird night and to my great surprise, I enjoyed it. <br /><br />Yes, I read the synopsis on the back of the DVD box and read that it had been banned for 25 years and figured I was prepared for anything it would offer. I was clearly deceived after seeing...well...everything, to cut a long story short. I can see why it was banned, not only for such explicit sex scenes, but for beastiality. <br /><br />Of course, as it is freely based on the classic fairy tale of Beauty and the Beast, a personal favorite of mine, it tells the story of a girl's sexual awakening over a dream about a duchess being chased by a whatever-the-hell-that-thing-was-like beast with an enormous erection and a substantial amount of ejaculation. Of course, the beast gets what he wants and the duchess decides she likes it and they continue frolicking in the woods. <br /><br />But that's not all. Oh, there is so much more! <br /><br />Not only do we get to see interspecial sex, but there's also humping horses, the babysitter who gets down and dirty with the slave when she's not humping the bed to get her...er...satisfaction and the daydreaming girl masturbating with rose petals. <br /><br />Creative and enjoyable, but it did take a while for my father to talk to me again after he watched it after I went to bed...I was 15. Words of advice when watching this film: make sure you're the only one who knows you have it and watch it with the curtains closed. It may be fun, but I doubt there are other porn films like this one.",positive
"H.O.T.S. is not for those that want hardcore porn. Instead, this film is a precursor to many 80s era cult-classic college/frat films like REVENGE OF THE NERDS and PORKY'S and a post-cursor to the world-renown ANIMAL HOUSE. A good time if you dig a lot of big-titted 70s/80s Playboy type chicks and cheezy slap-dick comedy - but nothing too notable if you wanna use it as whack-material...<br /><br />H.O.T.S. is an ""unauthorized"" sorority of sexy outcasts doing battle against the popular and trendy Pi girls. This one has pranks, an Aunt Jemima-ish house keeper, and even an over-heated robot that makes it relatively fun viewing if boobies are your ""thing""...<br /><br />Well...I like tits as much (or probably more...) as the next guy - but with all the sleazy sh!t that I've seen, I couldn't help but wish for a few hardcore scenes to make this one truly worthwhile. I knew it wouldn't happen, but I still wish that H.O.T.S. had a bit more sex and a bit less cheeze. Not quite as notable as NERDS, PORKY'S, or ANIMAL HOUSE, but worth a look for fans of those types of films...7/10<br /><br />P.S... and I forgot - this one has consummate douche-rag Danny Bonaduce in probably the best role of his career outside of his ""reality show""...",positive
"Why else would he do this to me?<br /><br />Not that I expect Dean Cain to produce hit movies. Or even decent movies. I saw Lois and Clark, I am aware of just how... ""good"" Dean Cain is.<br /><br />Obviously this is gonna be a cheesey flick, and each cheesey flick has its own special way to make you scratch your head. I will not call these spoilers as you can't really spoil this movie any more than it already is.<br /><br />To begin with... why is that a fake helicopter? I mean... why?<br /><br />How come that one scientist is from Chicago and that other scientist is from LA and neither one could be any more eastern european if they tried? How hard would it have been to get either an american actor, or just change that lame state sheet the movie provides us with to say those people aren't american?<br /><br />Why are there 2 occasions when the movie gives us a slug line? We get helipad-day and then mess hall-day later on. And then that's it, who cares about the timeline. To be honest, who cared about it even when they mentioned it, but I guess that's beside the point.<br /><br />Does a movie really get better if you are able to view it through multiple split screens? The answer is no.<br /><br />That dragon sure can walk down that hall..over..and over...and over....and over...<br /><br />Who on earth was responsible for one of the worst endings in film history? It was straight out of scooby doo. Oh, the dragon's dead now...say, wanna get dinner? Sure, but not at some Chinese place....with Dragon in the name!! AH HA HA HA!! HA HA HA!! HAHA HA! I used to be Superman! AHA HA HA! HA HA!<br /><br />fade to black<br /><br />my god, it made me cringe it was so stupid.<br /><br />But never fear..even though the whole building exploded...and no one was left alive..for some reason there's a second untouched, unmanned lab that survived pretty well, so they can make a sequel. Hurray for us all.<br /><br />",negative
"This movie is bad. Really bad. So bad it made me want to shoot myself in the forehead. I hated this movie. First off, the plot went absolutely nowhere and anything shocking about this movie was seen in the 30 second teaser trailer. Secondly, Anyone who saw the original in 1979 knows that it was a bad movie too and completely unworthy of a remake. By far the best part of the movie is the house it takes place in. Which is not saying much for the actual movie. There were parts in the movie when the music gets very suspenseful and you're positive someone is around the corner and it turns out to be the maid or the cat, but when someone actually is around the corner it is impossible to be even startled because you've been expecting it all movie. So save yourself the money, save yourself the time, save yourself the headache and just watch the trailer. There is absolutely no point in seeing this movie, not in the theater, not on DVD, not on TV, never.",negative
"This Roscoe ""Fatty"" Arbuckle comedy is best remembered for featuring a young Buster Keaton, fresh from splitting with his family's roughhouse Vaudeville act, in his film debut. Buster gets quite a substantial part in this film and it's quite a funny one overall. ""The Butcher Boy"" has lots of laughs and is an example of pure old-fashioned slapstick done well, though it would seem to come from the brief era of two-reel comedies when filmmakers still imagined in one-reel segments as a matter of course.<br /><br />The first half of the film takes place in a general store, with Arbuckle as the the butcher boy of the title. It's an excuse to mine the many possibilities for fast physical humor that a general store provides, and Arbuckle really shows himself to be a 300-pound acrobat, demonstrating subtlety, skill, and grace in his performance of what might have been unremarkable slapstick routines that raise them to a different level. A running gag has him flipping a large butcher knife casually so that it spins accurately into it's proper position stuck into the cutting board, and I'm still stunned that Arbuckle really seems to do it each time. There's also a really nice gag that sees him leaning on his scale and confused as to why his cuts of meat weigh so much.<br /><br />Buster Keaton is a boy who comes into to buy some molasses, and performs deftly in a foot-stuck-to-floor routine that follows. Apart from the odd and almost unsettling half-smile, his idiosyncratic attitude and body language make him recognizable immediately as the Buster we know. He even has his eventually-trademarked flattened hat -- here destroyed for the first time when filled, of course, with molasses.<br /><br />The second half of the film moves into more situation-based comedy and Arbuckle and his rival Al St. John dress in drag to infiltrate Fatty's girlfriend's boarding school. A lot of the humor also comes from the generally surreal and mysteriously laugh-inducing sight of these two odd fellows wearing drag and trying to ""be girls."" buster is in this segment too, but mostly stands there in the occasional cutaway, helping St. John.<br /><br />The ending of ""The Butcher Boy"" becomes a little emptily frenetic, but on the whole and beyond its historical curiosity interest, it's a well-done comedy that gets just the knockabout laughs it is going for.",positive
"I have seen many many movies and this just totally blew my mind. The trauma, the suspense is just amazing. I ended so wound up in the psychological fear and Philosophy of it, and relating it to reality. Movies that play and challenge your mind are movies you don't forget, those that make you doubt your reality. A problem could be the quality, but that doesn't bring down the essence of the movie.<br /><br />The idea it self is brilliant and the ending leaves you just completely shocked and with the question for you to seek the answer. I just totally loved it! So many clues and twitches and puzzles. One of the best movies ever, hands down.",positive
"This movie is horrible. THe acting is a waste basket. No crying, no action, hopeless songs. Though the scenery is great. I have always wanted to go to Greece.<br /><br />Anyway, as for Saif, you'd expect a great performance, but even he let down the people.<br /><br />Akshay Kumar, recognized as the pimp of Bollywood and the voice of Singhs. He was sensational in this movie. For only this performance, Filmfare should introduce another award. The toiletries award for the worst performance. By the way the trophy should be a toilet seat.<br /><br />Kareena Kapoor. She first of all is not comparable to her sister Karisma. In acting, in looks, or in body. She now wants to prove to herself that she surpasses her. She comes into this movie wearing bikini's and tank tops and short shorts. I really wonder why Saif Ali Khan is letting his wife-to-be dress like that. But, she must've impressed some people dressing like that. And if you ask how, then consider every man is having an erection watching this movie. They are dreaming of having Kareena Kapoor in bed naked with a condom. Including me. Personally I think that she dressed like a whore, but I really liked it.<br /><br />I am forced to give it a 1/10, but I'd really give this movie a 0/10. An unachieved film.",negative
"I am writing this after just seeing The Perfect Son at the 2002 Gay and Lesbian Mardi Gras Film Festival in Sydney, Australia.<br /><br />When their Father dies, two estranged brothers meet at the funeral and after discovering that one of the brothers is dying from AIDS, they enter on a heart warming journey of reconciliation. The two leads do a magnificent job of creating the gradual warmth and respect that builds up between them as the movie progresses. I do have one qualm about the movie though - whilst the brother who is dying acts sick, he doesn't look it. A person of 0 T4 cells would look quite ill - not even a make up job to make the actor look ill was employed. A small gripe, but one that makes it a bit less realistic. Despite that one small gripe, The Perfect Son is a wonderful movie and should you have the chance to see it- do. I'm hoping for a DVD release in the near future!",positive
